Participant	Manipulation	DominantHand	ReadingExperience	IQ	RT
s1	control_group	lefthanded	370	92	1648
s2	control_group	lefthanded	80	94	1370
s3	control_group	lefthanded	390	96	1663
s4	control_group	lefthanded	90	96	1396
s5	control_group	lefthanded	220	97	1521
s6	control_group	lefthanded	110	97	1409
s7	control_group	lefthanded	260	97	1540
s8	control_group	lefthanded	430	99	1706
s9	control_group	lefthanded	320	100	1609
s10	control_group	lefthanded	340	100	1627
s11	control_group	lefthanded	400	101	1682
s12	control_group	lefthanded	170	101	1487
s13	control_group	lefthanded	50	102	1297
s14	control_group	lefthanded	60	104	1337
s15	control_group	lefthanded	280	104	1576
s16	control_group	lefthanded	370	105	1656
s17	control_group	lefthanded	490	105	1795
s18	control_group	lefthanded	430	107	1713
s19	control_group	lefthanded	300	108	1600
s20	control_group	lefthanded	500	109	1805
s21	control_group	lefthanded	520	110	1820
s22	control_group	lefthanded	310	111	1608
s23	control_group	lefthanded	570	114	1971
s24	control_group	lefthanded	590	115	2031
s25	control_group	lefthanded	480	116	1790
s26	control_group	righthanded	140	93	1436
s27	control_group	righthanded	100	95	1397
s28	control_group	righthanded	100	96	1408
s29	control_group	righthanded	150	96	1456
s30	control_group	righthanded	130	97	1435
s31	control_group	righthanded	200	97	1516
s32	control_group	righthanded	310	98	1602
s33	control_group	righthanded	360	99	1641
s34	control_group	righthanded	220	100	1523
s35	control_group	righthanded	50	101	1289
s36	control_group	righthanded	150	102	1472
s37	control_group	righthanded	190	102	1506
s38	control_group	righthanded	390	102	1669
s39	control_group	righthanded	470	104	1787
s40	control_group	righthanded	270	104	1546
s41	control_group	righthanded	250	105	1536
s42	control_group	righthanded	330	106	1614
s43	control_group	righthanded	330	108	1614
s44	control_group	righthanded	530	108	1839
s45	control_group	righthanded	550	110	1870
s46	control_group	righthanded	380	111	1659
s47	control_group	righthanded	560	113	1916
s48	control_group	righthanded	530	114	1845
s49	control_group	righthanded	500	116	1807
s50	control_group	righthanded	550	116	1907
s51	experimental_group	lefthanded	110	91	1408
s52	experimental_group	lefthanded	270	94	1543
s53	experimental_group	lefthanded	70	95	1362
s54	experimental_group	lefthanded	30	96	1165
s55	experimental_group	lefthanded	330	97	1611
s56	experimental_group	lefthanded	210	97	1519
s57	experimental_group	lefthanded	150	98	1457
s58	experimental_group	lefthanded	40	99	1261
s59	experimental_group	lefthanded	170	99	1482
s60	experimental_group	lefthanded	500	100	1795
s61	experimental_group	lefthanded	480	101	1787
s62	experimental_group	lefthanded	140	102	1454
s63	experimental_group	lefthanded	120	102	1430
s64	experimental_group	lefthanded	160	102	1476
s65	experimental_group	lefthanded	450	104	1723
s66	experimental_group	lefthanded	180	105	1504
s67	experimental_group	lefthanded	240	105	1535
s68	experimental_group	lefthanded	400	107	1685
s69	experimental_group	lefthanded	410	108	1691
s70	experimental_group	lefthanded	360	109	1642
s71	experimental_group	lefthanded	540	110	1867
s72	experimental_group	lefthanded	330	111	1625
s73	experimental_group	lefthanded	550	113	1889
s74	experimental_group	lefthanded	460	115	1773
s75	experimental_group	lefthanded	450	115	1732
s76	experimental_group	righthanded	70	93	1343
s77	experimental_group	righthanded	380	94	1658
s78	experimental_group	righthanded	170	95	1480
s79	experimental_group	righthanded	80	96	1384
s80	experimental_group	righthanded	50	96	1263
s81	experimental_group	righthanded	60	97	1332
s82	experimental_group	righthanded	120	98	1429
s83	experimental_group	righthanded	310	99	1603
s84	experimental_group	righthanded	350	100	1633
s85	experimental_group	righthanded	180	101	1495
s86	experimental_group	righthanded	300	101	1597
s87	experimental_group	righthanded	440	102	1715
s88	experimental_group	righthanded	110	102	1424
s89	experimental_group	righthanded	390	104	1679
s90	experimental_group	righthanded	290	104	1576
s91	experimental_group	righthanded	230	105	1530
s92	experimental_group	righthanded	440	106	1715
s93	experimental_group	righthanded	410	107	1685
s94	experimental_group	righthanded	420	108	1701
s95	experimental_group	righthanded	460	109	1756
s96	experimental_group	righthanded	270	110	1564
s97	experimental_group	righthanded	510	112	1814
s98	experimental_group	righthanded	580	114	1995
s99	experimental_group	righthanded	530	116	1861
s100	experimental_group	righthanded	580	116	2004
